Time [h],m_ham_do,m_stirrer,m_temp,dm_feed,dm_AIR1,dm_AIR2,dm_AIR3,dm_AIR4
2.082861111,80.19949695,599.9995,29.9995,19.30949947,170932.562,170932.5464,0,0
2.099583333,80.79950305,599.9995,29.9995,19.51950046,171932.5464,171932.5464,0,0
2.116305556,80.89950153,599.9995,29.9995,19.72949954,172932.5308,172932.5464,0,0
2.133027778,78.4995,599.9995,29.9995,19.93950053,173932.5151,173932.5464,0,0
2.14975,78.79950305,599.9995,29.9995,20.14949962,174932.4839,174932.5464,0,0
2.166444444,77.39950153,599.9995,29.9995,20.36950084,175949.1245,175949.187,0,0
2.182888889,76.59949847,599.9995,29.9995,20.56949969,176915.7651,176915.8433,0,0
2.199583333,77.79950305,599.9995,29.9995,20.78950092,177932.4214,177932.4839,0,0
2.216305556,74.29950305,599.9995,29.9995,21.00950023,178949.062,178949.1401,0,0
2.233027778,75.69949695,599.9995,29.9995,21.21949931,179932.3589,179932.4526,0,0
2.24975,74.59949847,599.9995,29.9995,21.43950053,180932.3276,180932.437,0,0
2.266166667,74.79950305,599.9995,29.9995,21.64949962,181932.2964,181932.4058,0,0
2.282888889,75.79950305,599.9995,29.9995,21.86950084,182932.2339,182932.3433,0,0
2.299611111,75.59949847,599.9995,29.9995,22.07949992,183931.9526,183931.9839,0,0
2.316305556,75.59949847,599.9995,29.9995,22.29949924,184931.9839,184932.0464,0,0
2.333027778,72.9995,599.9995,29.9995,22.51950046,185931.9683,185932.0464,0,0
2.34975,71.9995,599.9995,29.9995,22.73949977,186931.9526,186932.0464,0,0
2.366166667,71.89950153,599.9995,29.9995,22.94950076,187931.937,187932.0308,0,0
2.382888889,72.29950305,599.9995,29.9995,23.16950008,188915.2339,188915.3589,0,0
2.399583333,69.09949847,599.9995,29.9995,23.38949939,189931.8901,189931.9995,0,0
2.416333333,68.4995,599.9995,29.9995,23.60950061,190931.8745,190931.9839,0,0
2.433027778,67.69949695,599.9995,29.9995,23.82949992,191931.8433,191931.9526,0,0
2.44975,67.59949847,599.9995,29.9995,24.05949947,192948.4839,192948.6089,0,0
2.466194444,65.89950153,599.9995,29.9995,24.27950069,193931.7964,193931.937,0,0
2.482916667,65.69949695,599.9995,29.9995,24.4995,194931.7808,194931.9058,0,0
2.499638889,66.9995,599.9995,29.9995,24.71949931,195948.437,195948.562,0,0
2.516361111,65.9995,599.9995,29.9995,24.93950053,196931.7339,196931.8745,0,0
2.533055556,63.59949847,599.9995,29.9995,25.16950008,197948.0464,197948.0933,0,0
2.5495,64.19949695,599.9995,29.9995,25.38949939,198931.4526,198931.5464,0,0
2.566222222,65.19949695,599.9995,29.9995,25.60950061,199931.4526,199931.562,0,0
2.582916667,64.59949847,599.9995,29.9995,25.83950015,200931.437,200931.562,0,0
2.599638889,64.59949847,599.9995,29.9995,26.05949947,201931.4058,201931.5464,0,0
2.616361111,62.59949847,599.9995,29.9995,26.28950092,202931.3901,202931.5464,0,0
2.633083333,60.59949847,599.9995,29.9995,26.51950046,203948.0464,203948.2026,0,0
2.6495,61.39950153,599.9995,29.9995,26.73949977,204931.3589,204931.5151,0,0
2.666222222,61.59949847,599.9995,29.9995,26.96949931,205931.3433,205931.4995,0,0
2.682916667,60.19950076,599.9995,29.9995,27.19950076,206931.312,206931.4839,0,0
2.699638889,59.89950153,599.9995,29.9995,27.42950031,207947.9683,207948.1401,0,0
2.716361111,60.29949924,599.9995,29.9995,27.65949985,208947.9526,208948.1245,0,0
2.733083333,55.59949847,599.9995,29.9995,27.88949939,209947.937,209948.1245,0,0
2.749777778,56.39950153,599.9995,29.9995,28.11950084,210947.9058,210948.1089,0,0
2.766194444,51.9995,599.9995,29.9995,28.33950015,211930.8745,211930.9839,0,0
2.782916667,54.19950076,599.9995,29.9995,28.56949969,212930.9526,212931.0933,0,0
2.799638889,55.39950153,599.9995,29.9995,28.79949924,213930.9526,213931.0933,0,0
2.816361111,55.4995,599.9995,29.9995,29.03950092,214930.937,214931.0933,0,0
2.833083333,52.19950076,599.9995,29.9995,29.26950046,215947.562,215947.7495,0,0
2.8495,50.9995,599.9995,29.9995,29.4995,216930.9058,216931.062,0,0
2.866222222,50.79949924,599.9995,29.9995,29.72949954,217930.8901,217931.062,0,0
2.882944444,48.39950153,599.9995,29.9995,29.96949931,218947.5464,218947.7183,0,0
2.899638889,48.4995,599.9995,29.9995,30.19950076,219930.8589,219931.0308,0,0
2.916361111,48.89950153,599.9995,29.9995,30.43950053,220930.8433,220931.0151,0,0
2.933083333,47.9995,599.9995,29.9995,30.66950008,221947.4839,221947.687,0,0
2.9495,48.9995,599.9995,29.9995,30.90949985,222930.7964,222931.0151,0,0
2.966222222,45.29949924,599.9995,29.9995,31.13949939,223930.7651,223930.9839,0,0
2.982944444,43.39950153,599.9995,29.9995,31.37949916,224930.7339,224930.9526,0,0
2.999638889,44.69950076,599.9995,29.9995,31.61950084,225947.0776,225947.2651,0,0
3.016361111,44.69950076,599.9995,29.9995,31.84950038,226930.437,226930.6245,0,0
3.033083333,44.69950076,599.9995,29.9995,32.08950015,227947.0933,227947.2964,0,0
3.049527778,39.39950153,599.9995,29.9995,32.32950183,228913.7495,228913.9683,0,0
3.066222222,38.59949847,599.9995,29.9995,32.56949969,229930.4058,229930.6245,0,0
3.082944444,38.59949847,599.9995,29.9995,32.80950137,230947.0464,230947.2651,0,0
3.099666667,38.29949924,599.9995,29.9995,33.04949924,231930.3745,231930.5933,0,0
3.116388889,38.69950076,599.9995,29.9995,33.28950092,232947.0151,232947.2339,0,0
3.133111111,39.9995,599.9995,29.9995,33.52949878,233946.9995,233947.2339,0,0
3.149527778,34.59949847,599.9995,29.9995,33.76950046,234930.312,234930.5464,0,0
3.16625,32.59949847,599.9995,29.9995,34.01950046,235946.9526,235947.187,0,0
3.182972222,31.19950076,599.9995,29.9995,34.25949832,236946.9214,236947.1714,0,0
3.199694444,33.29949924,599.9995,29.9995,34.4995,237930.2339,237930.4839,0,0
3.216416667,29.09950038,599.9995,29.9995,34.73950168,238946.7964,238947.062,0,0
3.232861111,31.9995,599.9995,29.9995,34.97949954,239929.8745,239930.0776,0,0
3.249583333,28.19950076,599.9995,29.9995,35.22949954,240929.9058,240930.1245,0,0
3.266277778,22.9995,599.9995,29.9995,35.46950122,241929.9058,241930.1245,0,0
3.283,26.39949962,599.9995,29.9995,35.71950122,242946.562,242946.7808,0,0
3.299722222,25.9995,624.9995,29.9995,35.96950122,243946.5464,243946.7651,0,0
3.316444444,26.39949962,624.9995,29.9995,36.20949908,244946.5308,244946.7651,0,0
3.332888889,24.59950038,624.9995,29.9995,36.45949908,245929.8433,245930.0776,0,0
3.349583333,21.89949962,624.9995,29.9995,36.69950076,246929.812,246930.062,0,0
3.366305556,24.9995,624.9995,29.9995,36.94950076,247946.4526,247946.7183,0,0
3.383027778,22.09950038,624.9995,29.9995,37.19950076,248946.437,248946.7026,0,0
3.399722222,22.69950076,624.9995,29.9995,37.44950076,249946.4214,249946.7026,0,0
3.416194444,22.69950076,624.9995,29.9995,37.69950076,250929.7339,250930.0151,0,0
3.432888889,22.69950076,624.9995,29.9995,37.94950076,251946.3901,251946.6558,0,0
3.449611111,22.89949962,649.9995,29.9995,38.19950076,252929.562,252929.812,0,0
3.466333333,24.9995,649.9995,29.9995,38.44950076,253946.062,253946.2964,0,0
3.483055556,23.59950038,649.9995,29.9995,38.69950076,254929.4058,254929.6558,0,0
3.49975,24.29949924,649.9995,29.9995,38.94950076,255946.062,255946.3433,0,0
3.516194444,25.9995,649.9995,29.9995,39.19950076,256946.0464,256946.3276,0,0
3.532888889,22.9995,649.9995,29.9995,39.44950076,257929.3589,257929.6558,0,0
3.549611111,23.29949924,649.9995,29.9995,39.70949908,258946.0151,258946.312,0,0
3.566333333,21.29949924,649.9995,29.9995,39.95949908,259929.3276,259929.6558,0,0
3.583027778,18.59950038,674.9995,29.9995,40.21950122,260945.9839,260946.312,0,0
3.59975,24.29949924,674.9995,29.9995,40.47949954,261962.6401,261962.9526,0,0
3.616166667,21.09950038,674.9995,29.9995,40.72949954,262945.9683,262946.312,0,0
3.632888889,21.69950076,674.9995,29.9995,40.97949954,263929.2808,263929.6245,0,0
3.649611111,21.19950076,674.9995,29.9995,41.22949954,264929.2495,264929.5933,0,0
3.666305556,20.69950076,674.9995,29.9995,41.48950168,265945.8745,265946.2495,0,0
3.683027778,19.39949962,674.9995,29.9995,41.7495,266945.687,266945.9995,0,0
3.69975,16.89949962,674.9995,29.9995,42.00949832,267945.5933,267945.8745,0,0
3.716194444,17.9995,674.9995,29.9995,42.25949832,268928.937,268929.2495,0,0
3.732916667,18.29949924,699.9995,29.9995,42.51950046,269945.5933,269945.9058,0,0
3.749638889,22.29949924,699.9995,29.9995,42.77949878,270928.9058,270929.2495,0,0
3.766361111,22.9995,699.9995,29.9995,43.03950092,271945.562,271945.9058,0,0
3.783055556,24.39949962,699.9995,29.9995,43.30950137,272962.2183,272962.5308,0,0
3.799777778,22.9995,699.9995,29.9995,43.55950137,273945.5308,273945.8745,0,0
3.816222222,19.9995,699.9995,29.9995,43.81949969,274928.8745,274929.187,0,0
3.832944444,18.39949962,699.9995,29.9995,44.07950183,275945.4995,275945.8433,0,0
3.849666667,25.79949924,699.9995,29.9995,44.33950015,276928.8433,276929.1558,0,0
3.866388889,25.89949962,724.9995,29.9995,44.60950061,277945.4995,277945.8433,0,0
3.883083333,32.9995,724.9995,29.9995,44.86949893,278945.4683,278945.812,0,0
3.899527778,35.79949924,724.9995,29.9995,45.12950107,279928.7808,279929.1245,0,0
3.91625,31.59950038,724.9995,29.9995,45.39950153,280945.187,280945.4995,0,0
3.932944444,27.19950076,724.9995,29.9995,45.65949985,281928.4683,281928.7495,0,0
3.949666667,24.4995,724.9995,29.9995,45.92950031,282945.1558,282945.437,0,0
3.966388889,25.4995,724.9995,29.9995,46.18949863,283945.1245,283945.437,0,0
3.983111111,22.69950076,724.9995,29.9995,46.45949908,284945.1245,284945.437,0,0
3.999527778,20.69950076,749.9995,29.9995,46.71950122,285928.437,285928.7808,0,0
4.01625,22.09950038,749.9995,29.9995,46.98950168,286928.4058,286928.7808,0,0
4.032972222,24.4995,749.9995,29.9995,47.2495,287928.4058,287928.7495,0,0
4.049694444,25.19950076,749.9995,29.9995,47.51950046,288945.062,288945.4058,0,0
4.066416667,25.29949924,749.9995,29.9995,47.78950092,289945.062,289945.4058,0,0
4.082833333,24.09950038,749.9995,29.9995,48.05950137,290928.3745,290928.7183,0,0
4.099555556,19.69950076,749.9995,29.9995,48.32950183,291928.3433,291928.687,0,0
4.116277778,19.4995,749.9995,29.9995,48.59949847,292944.9995,292945.3745,0,0
4.132972222,16.89949962,749.9995,29.9995,48.85950061,293928.312,293928.687,0,0
4.149694444,19.39949962,774.9995,29.9995,49.13949939,294944.687,294945.0308,0,0
4.166416667,23.09950038,774.9995,29.9995,49.40949985,295944.6558,295944.9995,0,0
4.182861111,23.4995,774.9995,29.9995,49.67950031,296927.9995,296928.3433,0,0
4.199555556,22.89949962,774.9995,29.9995,49.94950076,297944.6558,297945.0308,0,0
4.216277778,20.59950038,774.9995,29.9995,50.22949954,298944.6245,298944.9995,0,0
4.233,18.79949924,774.9995,29.9995,50.4995,299961.2808,299961.6558,0,0
4.249722222,17.59950038,774.9995,29.9995,50.76950046,300944.6245,300944.9683,0,0
4.266416667,16.4995,774.9995,29.9995,51.04949924,301961.2808,301961.6245,0,0
4.282861111,16.09950038,799.9995,29.9995,51.31949969,302927.9058,302928.2808,0,0
4.299555556,23.59950038,799.9995,29.9995,51.58950015,303944.562,303944.937,0,0
4.316277778,23.09950038,799.9995,29.9995,51.86949893,304944.5308,304944.9058,0,0
4.333027778,20.59950038,799.9995,29.9995,52.14950153,305944.5308,305944.9058,0,0
4.349722222,20.59950038,799.9995,29.9995,52.41949817,306944.4995,306944.8745,0,0
4.366444444,19.59950038,799.9995,29.9995,52.69950076,307961.1558,307961.5308,0,0
4.382861111,18.79949924,799.9995,29.9995,52.97949954,308944.1558,308944.4683,0,0
4.399583333,16.4995,803.9995,29.9995,53.2495,309944.187,309944.5308,0,0
4.416305556,16.89949962,824.9995,29.9995,53.52949878,310944.187,310944.5308,0,0
4.433,20.19950076,824.9995,29.9995,53.80950137,311944.1558,311944.5308,0,0
4.44975,24.69950076,824.9995,29.9995,54.08950015,312944.1558,312944.5308,0,0
4.466194444,30.59950038,824.9995,29.9995,54.36949893,313944.1245,313944.4995,0,0
4.482916667,36.9995,824.9995,29.9995,54.64950153,314944.1245,314944.4995,0,0
4.499611111,42.59949847,822.9995,29.9995,54.92950031,315944.1245,315944.4683,0,0
4.516333333,47.29949924,824.9995,29.9995,55.20949908,316944.1245,316944.4683,0,0
4.533055556,48.19950076,821.9995,29.9995,55.4995,317960.7495,317961.1245,0,0
4.54975,49.69950076,822.9995,29.9995,55.76950046,318944.062,318944.437,0,0
4.566194444,50.09949847,824.9995,29.9995,56.05950137,319944.0308,319944.437,0,0
4.582888889,50.09949847,824.9995,29.9995,56.33950015,320927.3745,320927.7495,0,0
4.599611111,49.69950076,824.9995,29.9995,56.61949893,321943.9995,321944.4058,0,0
4.616333333,49.29949924,824.9995,29.9995,56.90949985,322960.312,322960.6245,0,0
4.633055556,46.79949924,824.9995,29.9995,57.18949863,323943.7183,323944.0933,0,0
4.649777778,45.19950076,824.9995,29.9995,57.47949954,324943.7183,324944.0933,0,0
4.666194444,43.19950076,818.9995,29.9995,57.75949832,325943.7183,325944.0933,0,0
4.682916667,42.69950076,824.9995,29.9995,58.03950092,326927.062,326927.4058,0,0
4.699611111,39.9995,830.9995,29.9995,58.33950015,327943.7183,327944.0933,0,0
4.716361111,37.39950153,824.9995,29.9995,58.61949893,328943.687,328944.062,0,0
4.733083333,35.29949924,824.9995,29.9995,58.90949985,329943.687,329944.062,0,0
4.7495,32.69950076,824.9995,29.9995,59.19950076,330943.687,330944.062,0,0
4.766222222,29.29949924,824.9995,29.9995,59.48950168,331943.6558,331944.0308,0,0
4.782944444,30.29949924,824.9995,29.9995,59.77949878,332943.6558,332944.0308,0,0
4.799666667,27.29949924,824.9995,29.9995,60.05950137,333943.6245,333943.9995,0,0
4.816388889,23.9995,824.9995,29.9995,60.35950061,334960.2808,334960.6558,0,0
4.833111111,21.29949924,849.9995,29.9995,60.64950153,335960.2495,335960.6245,0,0
4.849527778,24.59950038,854.9995,29.9995,60.93949863,336943.2183,336943.5308,0,0
4.866277778,27.19950076,843.9995,29.9995,61.22949954,337943.312,337943.6245,0,0
4.882972222,26.09950038,853.9995,29.9995,61.51950046,338959.9683,338960.312,0,0
4.899694444,23.4995,849.9995,29.9995,61.80950137,339943.312,339943.6245,0,0
4.916416667,25.39949962,851.9995,29.9995,62.10950061,340959.9683,340960.312,0,0
4.932833333,24.9995,849.9995,29.9995,62.38949939,341926.6245,341926.937,0,0
4.949555556,24.9995,849.9995,29.9995,62.68949863,342943.2495,342943.5933,0,0
4.966277778,28.9995,847.9995,29.9995,62.97949954,343943.2495,343943.5933,0,0
4.982972222,32.79949924,874.9995,29.9995,63.27949878,344959.8745,344960.2495,0,0
4.999694444,37.19950076,874.9995,29.9995,63.56949969,345943.2183,345943.562,0,0
5.016416667,34.39950153,874.9995,29.9995,63.87950107,346959.8745,346960.2183,0,0
5.032833333,33.4995,874.9995,29.9995,64.16949817,347943.187,347943.5308,0,0
5.049583333,32.29949924,874.9995,29.9995,64.45949908,348943.187,348943.4995,0,0
5.066305556,30.69950076,878.9995,29.9995,64.75950214,349943.1558,349943.4683,0,0
5.083,30.29949924,874.9995,29.9995,65.05949756,350942.8433,350943.1245,0,0
5.099722222,29.59950038,874.9995,29.9995,65.35950061,351959.5308,351959.8433,0,0
5.116444444,27.69950076,874.9995,29.9995,65.64950153,352942.8745,352943.1558,0,0
5.132861111,26.9995,881.9995,29.9995,65.94949695,353942.8745,353943.1558,0,0
5.149583333,26.79949924,899.9995,29.9995,66.2495,354942.8433,354943.1558,0,0
5.166305556,29.9995,899.9995,29.9995,66.54950305,355942.8433,355943.1245,0,0
5.183027778,29.19950076,899.9995,29.9995,66.85950061,356959.4995,356959.812,0,0
5.199722222,29.29949924,899.9995,29.9995,67.15950366,357959.4683,357959.7808,0,0
5.216166667,29.19950076,899.9995,29.9995,67.45949908,358942.812,358943.1245,0,0
5.232888889,28.69950076,899.9995,29.9995,67.75950214,359942.7808,359943.0933,0,0
5.249611111,26.69950076,899.9995,29.9995,68.05949756,360942.7808,360943.0933,0,0
5.266305556,26.19950076,899.9995,29.9995,68.36950275,361959.437,361959.7183,0,0
5.283055556,25.4995,924.9995,29.9995,68.66949817,362942.7495,362943.062,0,0
5.29975,29.69950076,924.9995,29.9995,68.97950336,363959.3433,363959.687,0,0
